Municipality,Core ha,Core %,Buffer ha,Buffer %,Transition ha,Transition %
TSHWANE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
METSWEDING,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MODIMOLLE (LIM365),86478.4252,13.8857,281085.4025,45.1336,248670.9982,39.9288
Dr JS Moroka Local Municipality(MP316),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Thembisile Local Municipality(MP315),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MOOKGOPONG (LIM364),26782.4258,6.2712,82420.8753,19.2992,15827.0076,3.7060
AGANANG (LIM352),0.0000,0.0000,20785.1785,11.1092,144289.7335,77.1192
LEPELE-NKUMPI (LIM355),9494.9508,2.7415,1473.1295,0.4253,0.0000,0.0000
ELIAS MOTSOALEDI (LIM472),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BELA-BELA (LIM366),5939.2296,1.7593,81753.5190,24.2163,44244.8365,13.1058
THABAZIMBI (LIM361),263136.4555,26.6812,410525.5403,41.6260,40685.7395,4.1254
MOSES KOTANE (NW375),4850.6138,0.8481,13171.5288,2.3031,0.0000,0.0000
GREATER MARBLE HALL (LIM471),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
POLOKWANE (LIM354),7315.5160,1.9425,9791.9498,2.6001,167.1075,0.0444
MOGALAKWENA (LIM367),123336.4459,20.0025,241883.5985,39.2283,239740.1255,38.8806
LEPHALALE (LIM362),193618.4714,9.8778,413085.6303,21.0743,67936.5861,3.4659
BLOUBERG (LIM351),58.6364,0.0129,25519.5089,5.6203,4.2772,0.0009
MUSINA (LIM341),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MAKHADO (LIM344),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MOLEMOLE (LIM353),0.0000,0.0000,1752.5806,0.5236,0.5925,0.0002
RAMOTSHERE MOILOA (NW385),12611.7125,1.7534,1.2252,0.0002,0.0000,0.0000
RUSTENBURG (NW373),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
MADIBENG (NW372),2900.8545,0.7556,8884.0661,2.3140,0.0000,0.0000
MORETELE (NW371),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
