PrioritisedSpeciesID,
Canoparmelia texana
Diploschistes actinostomus
Parmotrema defectum
Xanthoparmelia infausta
Xanthoparmelia perfissa
Pseudoparmelia chlorea
Xanthoparmelia neoweberi
Xanthoparmelia mongaensis
Acanthosicyos naudinianus
Citrullus lanatus
Coccinia sessilifolia
Cucumis anguria
Cucumis sp.
Cucumis metulifer
Cucumis myriocarpus
Eragrostis porosa
Momordica balsamina
Unident-Cucurbitaceae sp.
Ardea cinerea
Bubulcus ibis
Buteo buteo
Delichon urbicum
Ciconia ciconia
Elanus caeruleus
Gallinula chloropus
Hirundo rustica
Lanius collurio
Lanius minor
Merops apiaster
Milvus migrans
Setophaga striata
Phylloscopus trochilus
Tachybaptus ruficollis
Tringa glareola
Capparimyia melanaspis
Ceratitis discussa
Ceratitis quinaria
Ceratitis pedestris
Ceratitis rubivora
Cenchrus americanus
sorghum bicolor RACE BICOLOR (L.) MOENCH
sorghum bicolor RACE GUINEA CAUDATUM (L.) MOENCH
sorghum bicolor RACE KAFIR (L.) MOENCH
sorghum bicolor RACE BICOLOR CAUDATUM (L.) MOENCH
sorghum bicolor RACE CAUDATUM (L.) MOENCH
sorghum bicolor RACE CAUDATUM KAFIR (L.) MOENCH
Apus affinis
Calamonastes fasciolatus
Cisticola chiniana
Coracias caudatus
Urolestes melanoleucus
Emberiza flaviventris
Francolinus swainsonii
Francolinus sephaena
Laniarius atrococcineus
Calendulauda sabota
Pterocles bicinctus
Pytilia melba
Tockus flavirostris
Turdoides bicolor
Entyloma zinniae
Phaseolus vulgaris
Zehneria marlothii
Aerobryopsis capensis
Breutelia diffracta
Campylopus flaccidus
Pilotrichella pandurifolia
Squamidium brasiliense
Ceratitis cosyra
Dacus ostiofaciens
Dacus pullescens
Dacus brevis
Dacus ciliatus
Dacus binotatus
Dacus durbanensis
Dacus eclipsis
Dacus plagiatus
Dacus vertebratus
Dacus eminus
Dacus mulgens
Uranotaenia nivipous
Mastomys coucha
Chrysoperla comans
Dischista cincta
Myrmeleon lethifer
Nemeura gracilis
Omorgus melancholicus
Sorghum bicolor
Aplysia oculifera
Bursatella leachii
Gulella infans
Opeas transvaalense Conn
Rana angolensis
Perilampsis diademata
Concroce capensis
Sternocera orissa
Nemoleon notatus
Neuroleon chloranthe
Chrysoperla pudica
Palpares kalahariensis
Palpares caffer
Hagenomyia tristis
Tomatares citrinus
Erythropygia leucophrys
Oenanthe familiaris
Cecropis semirufa
Cecropis abyssinica
Acridotheres tristis
Buphagus erythrorhynchus
Bubo africanus
Melaenornis silens
Crithagra atrogularis
Crithagra mozambica
Crithagra gularis
Vanellus coronatus
Vidua purpurascens
Vidua macroura
Vidua paradisaea
Turdus smithi
Uraeginthus angolensis
Urocolius indicus
Vanellus armatus
Cisticola fulvicapilla
Ceryle rudis
Melaenornis pammelaina
Leptoptilos crumenifer
Lybius torquatus
Cinnyris talatala
Chalcomitra amethystina
Cinnyricinclus leucogaster
Charadrius tricollaris
Streptopelia capicola
Streptopelia senegalensis
Streptopelia semitorquata
Lamprotornis bicolor
Struthio camelus
Alopochen aegyptiaca
Amadina erythrocephala
Camaroptera brachyura
Chloropicus fuscescens
Dicrurus adsimilis
Estrilda erythronotos
Egretta garzetta
Colius striatus
Columba guinea
Corvus albus
Thamnolaea cinnamomeiventris
Sylvietta rufescens
Tchagra senegalus
Threskiornis aethiopicus
Terpsiphone viridis
Zosterops virens
Apus horus
Anthus cinnamomeus
Anhinga rufa
Apus caffer
Corythaixoides concolor
Corvus capensis
Ploceus cucullatus
Ploceus velatus
Plocepasser mahali
Platalea alba
Ploceus intermedius
Tringa nebularia
Tockus leucomelas
Trachyphonus vaillantii
Tricholaema leucomelas
Creatophora cinerea
Cuculus solitarius
Lophoceros nasutus
Turdoides jardineii
Turdus libonyana
Euplectes albonotatus
Halcyon albiventris
Merops bullockoides
Dendroperdix sephaena
Falco rupicoloides
Falco amurensis
Euplectes orix
Francolinus coqui
Francolinus natalensis
Ardea melanocephala
Psophocichla litsitsirupa
Batis molitor
Cypsiurus parvus
Dendrocygna viduata
Ptyonoprogne fuligula
Pycnonotus barbatus
Hirundo albigularis
Hirundo dimidiata
Hieraaetus wahlbergi
Haliaeetus vocifer
Bradornis mariquensis
Bostrychia hagedash
Numida meleagris
Onychognathus morio
Motacilla capensis
Fraseria plumbea
Sylvia subcoerulea
Lagonosticta rhodopareia
Laniarius ferrugineus
Lamprotornis nitens
Lanius collaris
Passer melanurus
Rhinopomastus cyanomelas
Gymnoris superciliaris
Petrochelidon spilodera
Microcarbo africanus
Acanthocercus atricollis
Acontias percivali
Acontias plumbeus
Afroedura nov sp. 10 (waterbergensis)
Afroedura nov sp. 11 (pienaari)
Afroedura nov sp. 9 (soutpansbergensis)
Agama aculeata
Agama armata
Amblyodipsas polylepis
Aparallactus capensis
Aspidelaps scutatus
Atractaspis bibronii
Atractaspis duerdeni
Bitis arietans
Bitis caudalis
Causus defilippii
Causus rhombeatus
Chamaeleo dilepis
Chondrodactylus turneri
Smaug breyeri
Cordylus jonesii
Smaug vandami
Cordylus vittifer
Smaug depressus
Crocodylus niloticus
